National Dex Number,Pokemon Name,Pokemon Pic URL,Pokemon Types,Abilities,"Base Stats (HP, Atk, Def, SpA, SpD, Speed)"
#0001,Bulbasaur,https://www.serebii.net/pokedex-sv/icon/new/001.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Overgrow', 'Chlorophyll']","['45', '49', '49', '65', '65', '45']"
#0002,Ivysaur,https://www.serebii.net/pokedex-sv/icon/new/002.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Overgrow', 'Chlorophyll']","['60', '62', '63', '80', '80', '60']"
#0003,Venusaur,https://www.serebii.net/pokedex-sv/icon/new/003.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Overgrow', 'Chlorophyll']","['80', '82', '83', '100', '100', '80']"
#0004,Charmander,https://www.serebii.net/pokedex-sv/icon/new/004.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Blaze', 'Solar Power']","['39', '52', '43', '60', '50', '65']"
#0005,Charmeleon,https://www.serebii.net/pokedex-sv/icon/new/005.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Blaze', 'Solar Power']","['58', '64', '58', '80', '65', '80']"
#0006,Charizard,https://www.serebii.net/pokedex-sv/icon/new/006.png,"['https://www.serebii.net/pokedex-bw/type/fire.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Blaze', 'Solar Power']","['78', '84', '78', '109', '85', '100']"
#0007,Squirtle,https://www.serebii.net/pokedex-sv/icon/new/007.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Torrent', 'Rain Dish']","['44', '48', '65', '50', '64', '43']"
#0008,Wartortle,https://www.serebii.net/pokedex-sv/icon/new/008.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Torrent', 'Rain Dish']","['59', '63', '80', '65', '80', '58']"
#0009,Blastoise,https://www.serebii.net/pokedex-sv/icon/new/009.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Torrent', 'Rain Dish']","['79', '83', '100', '85', '105', '78']"
#0010,Caterpie,https://www.serebii.net/pokedex-sv/icon/new/010.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],"['Shield Dust', 'Run Away']","['45', '30', '35', '20', '20', '45']"
#0011,Metapod,https://www.serebii.net/pokedex-sv/icon/new/011.png,['https://www.serebii.net/pokedex-bw/type/bug.gif'],['Shed Skin'],"['50', '20', '55', '25', '25', '30']"
#0012,Butterfree,https://www.serebii.net/pokedex-sv/icon/new/012.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Compoundeyes', 'Tinted Lens']","['60', '45', '50', '90', '80', '70']"
#0013,Weedle,https://www.serebii.net/pokedex-sv/icon/new/013.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Shield Dust', 'Run Away']","['40', '35', '30', '20', '20', '50']"
#0014,Kakuna,https://www.serebii.net/pokedex-sv/icon/new/014.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']",['Shed Skin'],"['45', '25', '50', '25', '25', '35']"
#0015,Beedrill,https://www.serebii.net/pokedex-sv/icon/new/015.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Swarm', 'Sniper']","['65', '90', '40', '45', '80', '75']"
#0016,Pidgey,https://www.serebii.net/pokedex-sv/icon/new/016.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Tangled Feet', 'Big Pecks']","['40', '45', '40', '35', '35', '56']"
#0017,Pidgeotto,https://www.serebii.net/pokedex-sv/icon/new/017.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Tangled Feet', 'Big Pecks']","['63', '60', '55', '50', '50', '71']"
#0018,Pidgeot,https://www.serebii.net/pokedex-sv/icon/new/018.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Tangled Feet', 'Big Pecks']","['83', '80', '75', '70', '70', '101']"
#0019,Rattata,https://www.serebii.net/pokedex-sv/icon/new/019.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Run Away', 'Guts', 'Hustle']","['30', '56', '35', '25', '35', '72']"
#0020,Raticate,https://www.serebii.net/pokedex-sv/icon/new/020.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Run Away', 'Guts', 'Hustle']","['55', '81', '60', '50', '70', '97']"
#0021,Spearow,https://www.serebii.net/pokedex-sv/icon/new/021.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Sniper']","['40', '60', '30', '31', '31', '70']"
#0022,Fearow,https://www.serebii.net/pokedex-sv/icon/new/022.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Sniper']","['65', '90', '65', '61', '61', '100']"
#0023,Ekans,https://www.serebii.net/pokedex-sv/icon/new/023.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Intimidate', 'Shed Skin', 'Unnerve']","['35', '60', '44', '40', '54', '55']"
#0024,Arbok,https://www.serebii.net/pokedex-sv/icon/new/024.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Intimidate', 'Shed Skin', 'Unnerve']","['60', '95', '69', '65', '79', '80']"
#0025,Pikachu,https://www.serebii.net/pokedex-sv/icon/new/025.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Static', 'Lightning Rod']","['35', '55', '40', '50', '50', '90']"
#0026,Raichu,https://www.serebii.net/pokedex-sv/icon/new/026.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Static', 'Lightning Rod']","['60', '90', '55', '90', '80', '110']"
#0027,Sandshrew,https://www.serebii.net/pokedex-sv/icon/new/027.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Sand Veil', 'Sand Rush']","['50', '75', '85', '20', '30', '40']"
#0028,Sandslash,https://www.serebii.net/pokedex-sv/icon/new/028.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Sand Veil', 'Sand Rush']","['75', '100', '110', '45', '55', '65']"
#0029,Nidoran♀,https://www.serebii.net/pokedex-sv/icon/new/029.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Poison Point', 'Rivalry', 'Hustle']","['55', '47', '52', '40', '40', '41']"
#0030,Nidorina,https://www.serebii.net/pokedex-sv/icon/new/030.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Poison Point', 'Rivalry', 'Hustle']","['70', '62', '67', '55', '55', '56']"
#0031,Nidoqueen,https://www.serebii.net/pokedex-sv/icon/new/031.png,"['https://www.serebii.net/pokedex-bw/type/poison.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Poison Point', 'Rivalry', 'Sheer Force']","['90', '92', '87', '75', '85', '76']"
#0032,Nidoran♂,https://www.serebii.net/pokedex-sv/icon/new/032.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Poison Point', 'Rivalry', 'Hustle']","['46', '57', '40', '40', '40', '50']"
